run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,experiment_id,rounds_completed,feedback_events,selected_candidate_id,trace_report,runtime_root,policy_mode,status,error
portrait_character__no_update_random_sampling__r2,portrait_character__no_update_random_sampling,r2,1,portrait_character,Portrait / character,no_update_random_sampling,No-update random sampling,ses_d8b69c388ee0,exp_f345493fbb5d,1,0,,runs\portrait_character__no_update_random_sampling__r2\trace_report.html,runs\portrait_character__no_update_random_sampling__r2\runtime,no_update,completed,
portrait_character__no_update_random_sampling__r3,portrait_character__no_update_random_sampling,r3,2,portrait_character,Portrait / character,no_update_random_sampling,No-update random sampling,ses_444952b8cba0,exp_09f244cd1b19,1,0,,runs\portrait_character__no_update_random_sampling__r3\trace_report.html,runs\portrait_character__no_update_random_sampling__r3\runtime,no_update,completed,
portrait_character__stablesteering_default__r1,portrait_character__stablesteering_default,r1,0,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_d6b51f1dc8e0,exp_5ebe5c275b2c,2,1,cand_2f417b9c06db,runs\portrait_character__stablesteering_default__r1\trace_report.html,runs\portrait_character__stablesteering_default__r1\runtime,steering_loop,completed,
portrait_character__stablesteering_default__r2,portrait_character__stablesteering_default,r2,1,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_d9e2ff77590b,exp_5c8564054595,2,1,cand_8bda2d623f03,runs\portrait_character__stablesteering_default__r2\trace_report.html,runs\portrait_character__stablesteering_default__r2\runtime,steering_loop,completed,
portrait_character__stablesteering_default__r3,portrait_character__stablesteering_default,r3,2,portrait_character,Portrait / character,stablesteering_default,StableSteering default steering loop,ses_ea000ced2fa1,exp_3f514065347b,2,1,cand_1c3d41931cd4,runs\portrait_character__stablesteering_default__r3\trace_report.html,runs\portrait_character__stablesteering_default__r3\runtime,steering_loop,completed,
landscape_environment__prompt_only_manual__r1,landscape_environment__prompt_only_manual,r1,0,landscape_environment,Landscape / environment,prompt_only_manual,Prompt-only manual iteration,ses_a5f10dd889eb,exp_1a10f37a0f91,1,0,cand_4528f923e202,runs\landscape_environment__prompt_only_manual__r1\trace_report.html,runs\landscape_environment__prompt_only_manual__r1\runtime,prompt_only_proxy,completed,
landscape_environment__prompt_only_manual__r2,landscape_environment__prompt_only_manual,r2,1,landscape_environment,Landscape / environment,prompt_only_manual,Prompt-only manual iteration,ses_2fd26104c5d2,exp_6a0235ce0da3,1,0,cand_26cbc7d3a1d8,runs\landscape_environment__prompt_only_manual__r2\trace_report.html,runs\landscape_environment__prompt_only_manual__r2\runtime,prompt_only_proxy,completed,
landscape_environment__prompt_only_manual__r3,landscape_environment__prompt_only_manual,r3,2,landscape_environment,Landscape / environment,prompt_only_manual,Prompt-only manual iteration,ses_937ee6faada3,exp_4b0f7f506b19,1,0,cand_476f8fd9eb3e,runs\landscape_environment__prompt_only_manual__r3\trace_report.html,runs\landscape_environment__prompt_only_manual__r3\runtime,prompt_only_proxy,completed,
landscape_environment__no_update_random_sampling__r1,landscape_environment__no_update_random_sampling,r1,0,landscape_environment,Landscape / environment,no_update_random_sampling,No-update random sampling,ses_54aa9eb39d50,exp_d872fb7e7472,1,0,,runs\landscape_environment__no_update_random_sampling__r1\trace_report.html,runs\landscape_environment__no_update_random_sampling__r1\runtime,no_update,completed,
landscape_environment__no_update_random_sampling__r2,landscape_environment__no_update_random_sampling,r2,1,landscape_environment,Landscape / environment,no_update_random_sampling,No-update random sampling,ses_95f5815b2177,exp_aeb47e1ae681,1,0,,runs\landscape_environment__no_update_random_sampling__r2\trace_report.html,runs\landscape_environment__no_update_random_sampling__r2\runtime,no_update,completed,
landscape_environment__no_update_random_sampling__r3,landscape_environment__no_update_random_sampling,r3,2,landscape_environment,Landscape / environment,no_update_random_sampling,No-update random sampling,ses_c328ccc7b0be,exp_fd30c551879a,1,0,,runs\landscape_environment__no_update_random_sampling__r3\trace_report.html,runs\landscape_environment__no_update_random_sampling__r3\runtime,no_update,completed,
landscape_environment__stablesteering_default__r1,landscape_environment__stablesteering_default,r1,0,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_9f581379201d,exp_d110de670ef6,2,1,cand_7253e02459bc,runs\landscape_environment__stablesteering_default__r1\trace_report.html,runs\landscape_environment__stablesteering_default__r1\runtime,steering_loop,completed,
landscape_environment__stablesteering_default__r2,landscape_environment__stablesteering_default,r2,1,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_28ef4c6e7967,exp_3ee527eb9e5f,2,1,cand_0184d13206d5,runs\landscape_environment__stablesteering_default__r2\trace_report.html,runs\landscape_environment__stablesteering_default__r2\runtime,steering_loop,completed,
landscape_environment__stablesteering_default__r3,landscape_environment__stablesteering_default,r3,2,landscape_environment,Landscape / environment,stablesteering_default,StableSteering default steering loop,ses_e31b7164701e,exp_8595726b53ed,2,1,cand_562992c6c833,runs\landscape_environment__stablesteering_default__r3\trace_report.html,runs\landscape_environment__stablesteering_default__r3\runtime,steering_loop,completed,
